id,name,origin,height,weight,life_span,temperament,health
1,Chihuahua,Mexico,"6-9""",6 lb, 14–18 years,"The saucy Chihuahua has earned his place as a favored toy dog because of his intense devotion to a single person. He is reserved with strangers but good with other household dogs and pets. Some try to be protective, but they are not very effective. Some may be quite bold; others may be timid. He may often  be temperamental. Some bark.","|Major concerns: none|Minor concerns: pulmonic stenosis, hydrocephalus, patellar luxation, KCS, hypoglycemia|Occasionally seen: none|Suggested tests: cardiac, knee, eye|Life span: 14–18 years|Note: A soft spot (molera) in the skull (due to incomplete fontanel closure) is a common breed trait."
2,Japanese Spaniel,Japan,"8-11""",4-7 lb, 10–12 years,"The Japanese Chin is a devoted companion, relishing a warm lap as much as a boisterous game. This dog is sensitive and willing to please, often shadowing her owner. The Chin is a friend to all: strangers, dogs, and pets. Playfulness and gentleness make this dog a good child’s companion for equally gentle children. The breed has been described as almost catlike: some even climb!","|Minor concerns: patellar luxation, KCS, entropion, cataract, heart murmur|Occasionally seen: achondroplasia, epilepsy, portacaval shunt|Suggested tests: knee, eye, cardiac|Life span: 10–12 years|Note: The breed is sensitive to anesthesia and does not tolerate heat well. It is also prone to corneal abrasions."
3,Maltese Dog,Malta,"9-11""",4-6 lb, 12–14 years,"Long a favorite lapdog, the gentle Maltese fills this role admirably. The Maltese also has a wild side, and loves to run and play. Despite the innocent look, this is bold and feisty pup who may challenge larger dogs, and some enjoy barking. The Maltese is reserved with strangers.","|Major concerns: none|Minor concerns: patellar luxation, open fontanel, hypoglycemia, hydrocephalus, distichiasis, entropion, dental problems, hypothyroidism, portacaval shunt|Occasionally seen: deafness, shaker syndrome|Suggested tests: knee, eye, cardiac|Life span: 12–14 years"
4,Pekinese,China,"6-9""",14 lb, 13–15 years,"The Pekingese is decidedly not a timid lapdog. The breed has a courageous character that will not start a fight but will not back down from one. The dog tends to be aloof around strangers but this is not a breed-wide trait. Many are outgoing and loving, but are independent and not overly demonstrative. The breed’s stubbornness is legendary. Although playful around family members, the dog may not be athletic or playful enough to satisfy many children. The breed will not tolerate rough handling by children, and can be injured by careless hard play.","|Major concerns: none|Minor concerns: elongated soft palate, stenotic nares, KCS, patellar luxation, disticiasis, trichiasis, skin fold dermatitis|Occasionally seen: urolithiasis|Suggested tests: knee, (eye)|Life span: 13–15 years|Note: The breed is sensitive to anesthesia and does not tolerate heat well. It is also prone to corneal abrasions. Puppies must often be delivered by caesarean."
5,Shih-Tzu,"China, Tibet","8-11""",9-16 lb, 11–14 years,The spunky but sweet Shih Tzu can be both a gentle lapdog and a vivacious companion. They have an upbeat attitude and love to play and romp. They are affectionate to their family and often good with children. They can be surprisingly tough and may have a stubborn streak.,"|Major concerns: CHD|Minor concerns: renal dysplsia, entropion, trichiasis, PRA, KCS, otitis externa, portacaval shunt, inguinal hernia, patellar luxation|Occasionally seen: cataract, dental problems|Suggested tests: eye, hip, DNA for renal dysplasia|Life span: 11–14 years"
6,Blenheim Spaniel,England,"10-11""",8-14 lb, 10–12 years,"The English Toy Spaniel enjoys rollicking romps. He is a lapdog par excellence, gentle, amiable, calm, and quiet, yet he is playful and attentive. He is devoted to his family and reserved with strangers. He may be somewhat stubborn.","|Major concerns: patellar luxation|Minor concerns: early tooth loss, entropion|Occasionally seen: PDA|Suggested tests: (knee), eye, heart|Life span: 10–12 years|Note: A soft spot in the skull (due to incomplete fontanel closure) sometimes occurs in young dogs and is usually not a problem. Fused toes are not considered abnormal. Hydrocephalus occurs but may be overdiagnosed. The breed is sensitive to anesthesia."
7,Papillon,France,"8-11""",4-9 lb, 12–15 years,"One of the most obedient and responsive of the toy breeds, the vivacious Papillon is also gentle, amiable, and playful. The breed is friendly toward strangers, other dogs, and pets. The dog is very good with children but due to the small size can be injured by rough play. Some can be timid.","|Major concerns: none|Minor concerns: patellar luxation, seizures, dental problems|Occasionally seen: vWD, PRA, open fontanel, intervertebral disk disease, allergies|Suggested tests: knee, eye, (vWD), cardiac|Life span: 12–15 years"
8,Toy Terrier,England,"10-12""",6-8 lb, 14–16 years,"Although true to its terrier heritage when it comes to scrappiness, the Toy Manchester is among the gentlest and most sensitive of breeds. The dog is playful with its family, yet reserved, sometimes even timid, with strangers. The Toy Manchester Terrier is inquisitive and the dog’s tendency to chase small animals should be kept in mind during outdoor exercise or with other household pets.","|Major concerns: none|Minor concerns: vWD, cardiomyopathy|Occasionally seen: Legg-Perthes, hypothyroidism, deafness, PRA, patellar luxation|Suggested tests: eye, hip, DNA for vWD|Life span: 14–16 years"
9,Rhodesian Ridgeback,South Africa,"24-27""",70-85 lb, 10–12 years,"The Rhodesian Ridgeback is a somewhat assertive dog. They are generally good with children, and can be protective of those in their family, but can be sometimes overly boisterous in play for small children. They are strong-willed and powerful; some can become domineering. They tend to be reserved with strangers. They often do well around other dogs, although two males should be supervised. Ridgebacks are good with cats if they are properly socialized or introduced to them.","|Major concerns: none|Minor concerns: CHD, hypothyroidism, elbow dysplasia|Occasionally seen: deafness, dermoid sinus|Suggested tests: hip, elbow, thyroid, dermoid sinus (as puppy)|Life span: 10–12 years"
10,Afghan Hound,Afghanistan,"25-27""",50-60 lb, 12–14 years,"Despite the glamorous reputation, the Afghan Hound’s heart lies in chasing down game over rugged terrain. While these dogs maintain regal bearings inside, Afghans need a daily chance to stretch their legs in a safe area. At times, they may have a reluctance to come when called. They will chase small animals outside, and will coexist peacefully inside. Though they can be gentle with children, the Afghan may not always be playful and interactive enough with them. Described by some as “catlike,” this breed is independent yet sensitive, and not overly demonstrative. They are reserved with strangers; some can be timid. They have a happy, clownish side.","|Major concerns: none|Minor concerns: cataract|Occasionally seen: necrotic myelopathy, CHD, hypothyroidism|Suggested tests: eye, hip, thyroidism|Life span: 12–14 years|Note: sensitive to barbiturate anesthesia; prone to tail injuries"
11,Basset,France,"14""",40-60 lb, 8–12 years,"The Basset Hound is among the most good natured and easygoing of breeds. This breed is amiable with dogs, other pets, and children, although children must be cautioned not to put strain on this and all dogs’ backs with their games. The Basset is calm inside, but needs regular exercise in order to keep fit. They prefer to investigate slowly, and love to sniff and trail. These are talented and determined trackers, not easily dissuaded from their course. Because of this, they may get on a trail and follow it until becoming lost. This dog tends to be stubborn and slow moving. Bassets have a loud bay that they use when excited on the trail.","|Major concerns: OCD, elbow dysplasia, thrombopathy, entropion, ectropion, otitis externa, glaucoma, gastric torsion, CHD|Minor concerns: patellar luxation, vWD|Occasionally seen: none|Suggested tests: eye, hip, (vWD), (elbow), (platelets)|Life span: 8–12 years|Note: Obesity is a problem in the breed, especially because it contributes to back problems."
